sales_order_number,uom,part_group,short_description,long_description,order_quantity,quantity_shipped,base_price,extended_price
28127,EA,LVSLS,177041405 DOOR POCKET PANEL RH (*CUST SUPP MAT*),177041405 PNL D/PKT ALUM .102X42.27X87.65 RH (***CUST SUPPLIED MATERIAL ALUM .102 X 48 X 96 w/PVC***),80,80,20.98,1678.4
28129,EA,LVSLS,177041404 DOOR POCKET PANEL LH (CUST SUP MAT,177041404 PNL D/PKT ,80,80,20.98,1678.4
28131,EA,LVSLS,177041404 DOOR POCKET PANEL LH (CUST SUP MAT,177041404 PNL D/PKT ,80,80,20.98,1678.4
28132,EA,LVSLS,005774400 ANG AL MTG .125 X 6.81 X 107.12,"005774400 ANG AL MTG .125 X 6.81 X 107.12
***CUSTOMER SUPPLIED MATERIAL .125 X 56 X 110 W/ PVC***",182,182,7.05,1283.1
28133,EA,LVSLS,177041405 DOOR POCKET PANEL RH (*CUST SUPP MAT*),177041405 PNL D/PKT ALUM .102X42.27X87.65 RH (***CUST SUPPLIED MATERIAL ALUM .102 X 48 X 96 w/PVC***),80,80,20.98,1678.4
28138,EA,LVSLS,PERSONALIZED LOGOPLATE NOSLER,PERSONALIZED LOGOPLATE NOSLER,1,1,50,50
28100,EA,LVSLS,86480T,86480T,1,1,493.94,493.94
28104,EA,LVSLS,215101406 S/FRM STL.25X16.96X46.2LH F59 GALV,NA,10,10,144.47,1444.7
28105,EA,LVSLS,002027423 BRKT SHFT,002027423 BRKT SHFT,160,159,5.92,947.2
28105,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,120,120,24.31,2917.2
28107,EA,LVSLS,3009-4055-00S3,STEAM SENSING PIPE STAY,30,30,10.83,324.9
28108,EA,LVSLS,CPWF03,NA,20,20,3.05,61
28108,EA,LVSLS,CPWF05,NA,1,1,61.17,61.17
28108,EA,LVSLS,CPWF07,NA,2,2,38.33,76.66
28108,EA,LVSLS,CPWF10,NA,2,2,75.19,150.38
28108,EA,LVSLS,CPWF13,NA,4,4,21.43,85.72
28108,EA,LVSLS,CPWF16,NA,4,4,15.36,61.44
28110,EA,LVSLS,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,150,150,4.66,699
28111,EA,LVSLS,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,180,180,2.42,435.6
28111,EA,LVSLS,208078401 C/P RR D/FLR,208078401 C/P RR D/FLR ,150,150,103.95,15592.5
28112,EA,LVSLS,"207007407 BRKT D/FLR STL7GAX17.51X20.49L OB, GALV","207007407 BRKT D/FLR STL7GAX17.51X20.49L OB, GALV",20,20,42.86,857.2
28115,EA,LVSLS,207101400 HTCH FRM,207101400 HTCH FRM,150,150,43.85,6577.5
28116,EA,LVSLS,207101400 HTCH FRM,207101400 HTCH FRM,150,150,43.85,6577.5
28123,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,5,5,207.64,1038.2
28123,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,5,5,207.64,1038.2
28124,EA,LVSLS,188007201 ANG WLDMT OB LH,NA,100,100,39.95,3995
28125,EA,LVSLS,218078400 ANG ATCH LH,218078400 ANG ATCH LH,100,99,9.9,990
28125,EA,LVSLS,218078401 ANG ATCH RH,218078401 ANG ATCH RH,100,100,9.9,990
28139,EA,LVSLS,165007403 ANG INCR C/P STL .25 X 6 X 13.7 LH,165007403 ANG INCR C/P STL .25 X 6 X 13.7 LH,120,120,9.57,1148.4
28140,EA,LVSLS,208078401 C/P RR D/FLR,208078401 C/P RR D/FLR ,120,120,103.95,12474
28141,EA,LVSLS,215101407 S/FRM STL.25X16.96X46.2RH F59 GALV,NA,120,120,117.88,14145.6
28142,EA,LVSLS,1418-43085-0-40543-0 Vibrating Roll Shim,1418-43085-0-40543-0 Vibrating Roll Shim,100,100,4.79,479
28142,EA,LVSLS,1418-61045-1 SHIM,1418-61045-1 SHIM,100,100,5.56,556
28143,EA,LVSLS,T3599KT09 LADDER RUNG 27'',T3599KT09 LADDER RUNG 27'',150,150,9.15,1372.5
28150,EA,LVSLS,218078400 ANG ATCH LH,218078400 ANG ATCH LH,140,140,9.9,1386
28150,EA,LVSLS,218078401 ANG ATCH RH,218078401 ANG ATCH RH,140,140,9.9,1386
28134,EA,LVSLS,HS07-5X094.5-282636,"SHEET, HS 7 GA. 5"" X 94 1/2"" ",6,6,37.01,222.06
28135,EA,LVSLS,608161 BAR; BLOCK LOCK,608161 BAR; BLOCK LOCK,4,4,24.31,97.24
28136,EA,LVSLS,622385 FC; PLATE; COVER; RES BOX,622385 FC; PLATE; COVER; RES BOX,20,20,9.84,196.8
28137,EA,LVSLS,3515 DOOR DIVIDER,3515 DOOR DIVIDER,4,4,75,300
28153,EA,LVSLS,002027423 BRKT SHFT,002027423 BRKT SHFT,160,160,5.92,947.2
28153,EA,LVSLS,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,205101407 SPCR S/FRM STL11GAX6X8.5 GALV,150,150,4.66,699
28153,EA,LVSLS,215007511 Z FWD C/P STL7GAX5.71X22.38LH F59 GALV,215007511 Z FWD C/P STL7GAX5.71X22.38LH F59 GALV,100,100,16.62,1662
28155,EA,LVSLS,137147408,137147408 -BRKT BLKH STKR ,150,149,6.93,1039.5
28139,EA,LVSLS,165007404 ANG INCR C/P STL .25 X 6 X 13.7 RH,165007404 ANG INCR C/P STL .25 X 6 X 13.7 RH,120,120,9.57,1148.4
28145,EA,LVSLS,4005-9102-0010 Lifting Lug,4005-9102-0010 Lifting Lug,30,30,76.29,2288.7
28147,EA,LVSLS,ECONOMIZER FLANGE WELDMENT,0003-9149-02S3,10,10,102.06,1020.6
28148,EA,LVSLS,3009-3614-01C4 - STEAM PRESSSURE ASSY MOUNT (4)LX(,"3009-3614-01C4 - STEAM PRESSSURE ASSY MOUNT (4)LX(L)(H)-07,LX-12 REV A",30,30,9.56,286.8
28152,EA,LVSLS,208101403 S/FRM STL.25X16.58X38.86RH GALV,208101403 S/FRM STL.25X16.58X38.86RH GALV,207,207,76.2,15773.4
28153,EA,LVSLS,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,100,100,16.62,1662
28154,EA,LVSLS,137147420 PLT MTG PUL,137147420 PLT MTG PUL,150,150,4.98,747
28156,EA,LVSLS,117142401  S MIR RH,117142401  S MIR RH,150,150,0.95,142.5
28141,EA,LVSLS,215101406 S/FRM STL.25X16.96X46.2LH F59 GALV,NA,120,120,117.88,14145.6
28156,EA,LVSLS,117142400  S MIR LH,117142400  S MIR LH,120,120,0.95,114
28156,EA,LVSLS,128024410 BASE REINF,128024410 BASE REINF,120,120,1.33,159.6
28156,EA,LVSLS,137147421,137147421 - PLATE - ANCHOR - PULLEY,150,150,4.85,727.5
28157,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,110,110,207.64,22840.4
28157,EA,LVSLS,3515 DOOR DIVIDER,3515 DOOR DIVIDER,40,40,75,3000
28158,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,10,10,207.64,2076.4
28158,EA,LVSLS,FDD1504896SGN3T-BLK 3 TIER SIGN,FDD1504896SGN3T-BLK 3 TIER SIGN,12,12,43.93,527.16
28159,EA,LVSLS,FDMAGBRKT4448,F022-0001,30,30,5.99,179.7
28142,EA,LVSLS,1533-43001-1 PLATE-SHIM B50,NA,100,100,5.61,561
28144,EA,LVSLS,CLIP-LB-S-HOLES2.375 5 GA 50YD 4-1/8X11-7/8 W/HOLE,CLIP-LB-S-HOLES2.375 5 GA 50YD 4-1/8X11-7/8 W/HOLES,620,620,6.77,4197.4
28146,EA,LVSLS,BASE,3009-2602-41S3 BASE,5,5,1018.02,5090.1
28149,EA,LVSLS,0003-9169-00S3 INNER BLOCK STRIP,0003-9169-00S3 INNER BLOCK STRIP,30,30,10.32,309.6
28150,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,140,140,24.31,3403.4
28151,EA,LVSLS,215007497 Z FRT C/P STL7GAX5.96X48.29 LH F59 GALV,215007497 Z FRT C/P STL7GAX5.96X48.29 LH F59 GALV,120,120,32.06,3847.2
28151,EA,LVSLS,215007501 Z MID C/P STL7GAX5.96X58.28 LH F59 GALV,215007501 Z MID C/P STL7GAX5.96X58.28 LH F59 GALV,120,119,35.88,4305.6
28163,EA,LVSLS,HS07-05X095-261040-072,"SHEET, HS 7 GA. 5"" X 95"" ",216,216,37.65,8132.4
28164,EA,LVSLS,KBBP-75-3,"KBBP-75-3 BACKET PLATE, 3/4""X5""X8"", 4 HOLES, 3"" GAGE",200,200,9.74,1948
28151,EA,LVSLS,215007498 Z FRT C/P STL7GAX5.96X48.29 RH F59 GALV,215007498 Z FRT C/P STL7GAX5.96X48.29 RH F59 GALV,120,120,32.05,3846
28151,EA,LVSLS,215007502 Z MID C/P STL7GAX5.96X58.28 RH F59 GALV,215007502 Z MID C/P STL7GAX5.96X58.28 RH F59 GALV,120,120,35.88,4305.6
28157,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,110,110,207.64,22840.4
28158,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,10,10,207.64,2076.4
28158,EA,LVSLS,FDDSTRP4448,FDDSTRP4448,12,12,11.37,136.44
28160,EA,LVSLS,XV-MK3200-166B_RTK_0,BASE OUTER COIL SUPPORT 3200MM XV-MK,2,2,256.61,513.22
28161,EA,LVSLS,S12-08.84X014.438-BCSG,"12 GA CQ 8-27/32 X 14 7/16"" ",400,400,14.48,5792
28164,EA,LVSLS,HC-135-1212,"CAP, 10 GA.X12 X12 ",100,100,7.58,758
28162,EA,LVSLS,"SHIM.125-05 SHIM, 1/8""X7""X8"",(2)5/8""HOLES,(1)7/8""H","SHIM.125-05 SHIM, 1/8""X7""X8"",(2)5/8""HOLES,(1)7/8""HOLE",2000,2000,3.34,6680
28163,EA,LVSLS,"GD-F.3X3.5-007 FLAT, 1/4'' X 3 1/2'' - 7''","GD-F.3X3.5-007 FLAT, 1/4'' X 3 1/2'' - 7''",1000,1000,1.52,1520
28164,EA,LVSLS,"HC-135-0606 CAP, 10 GA. x 6 x 6","HC-135-0606 CAP, 10 GA. x 6 x 6",25,25,1.69,42.25
28166,EA,LVSLS,98760320 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,9.52,761.6
28168,EA,LVSLS,157041409 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,8.56,684.8
28169,EA,LVSLS,177005412 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,2.04,163.2
28171,EA,LVSLS,147052400 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,3.08,246.4
27232,EA,LVSLS,1418-03112-1 COVER,1418-03112-1-32754-B  COOLING SYSTEM COVER,36,36,5.1,183.6
28175,EA,LVSLS,117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER,"117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.17,173.6
28165,EA,LVSLS,157050407 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,5.57,445.6
28167,EA,LVSLS,96760312 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,160,160,4.09,654.4
28170,EA,LVSLS,177005411 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,2.04,163.2
28172,EA,LVSLS,FDD1504896SGN3T-BLK 3 TIER SIGN,FDD1504896SGN3T-BLK 3 TIER SIGN,2,2,43.93,87.86
28172,EA,LVSLS,F022-0002 25C200MTP,F022-0002 25C200MTP,20,20,1,20
28172,EA,LVSLS,FDMAGBRKT4448,F022-0001,5,5,5.99,29.95
28172,EA,LVSLS,FDDSTRP4448,FDDSTRP4448,7,7,11.37,79.59
28190,EA,LVSLS,087032404 WHEEL BX END PANEL LH,"087032404 WHEEL BX END PANEL LH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.54,203.2
28191,EA,LVSLS,087032405 WHEEL BX END PANEL RH,"087032405 WHEEL BX END PANEL RH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.47,197.6
28173,EA,LVSLS,087032404 WHEEL BX END PANEL LH,"087032404 WHEEL BX END PANEL LH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.54,203.2
28174,EA,LVSLS,087032405 WHEEL BX END PANEL RH,"087032405 WHEEL BX END PANEL RH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.47,197.6
28176,EA,LVSLS,117005404 BRC BTL BRKT,"117005404 BRC BTL BRKT
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.55,204
28177,EA,LVSLS,117094400 BRKT MDL,"117094400 BRKT MDL
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.27,181.6
28179,EA,LVSLS,177070401 PLT SL BHD HDR,"177070401 PLT SL BHD HDR
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",160,160,1.57,251.2
28180,EA,LVSLS,187050412 GRD LMP SI,"187050412 GRD LMP SI
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",160,160,3.88,620.8
28181,EA,LVSLS,98760307 STFNR LWR .102X7.74X28.18 RH,"98760307 STFNR LWR .102X7.74X28.18 RH
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***",80,80,5.35,428
28178,EA,LVSLS,127070401 HDR BHD Z AL .102 X 12.48 X 87.41,"127070401 HDR BHD Z AL .102 X 12.48 X 87.41
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***
",80,80,11.69,935.2
28182,EA,LVSLS,98760323 PNL DR RH,"98760323 PNL DR RH
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***",80,80,14.39,1151.2
28183,EA,LVSLS,157050407 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,5.57,445.6
28184,EA,LVSLS,98760320 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,9.52,761.6
28185,EA,LVSLS,96760312 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,160,160,4.09,654.4
28186,EA,LVSLS,157041409 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,8.56,684.8
28187,EA,LVSLS,177005412 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,2.04,163.2
28188,EA,LVSLS,177005411 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,2.04,163.2
28189,EA,LVSLS,147052400 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,80,80,3.08,246.4
28201,EA,LVSLS,137147405 HSG STRKR RR,137147405 HSG STRKR RR,150,150,4.75,712.5
28201,EA,LVSLS,208007454 ANG INR STL LH,208007454 ANG INR STL LH ,50,50,12.62,631
28192,EA,LVSLS,117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER,"117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.17,173.6
28193,EA,LVSLS,117005404 BRC BTL BRKT,"117005404 BRC BTL BRKT
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.55,204
28194,EA,LVSLS,117094400 BRKT MDL,"117094400 BRKT MDL
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",80,80,2.27,181.6
28195,EA,LVSLS,127070401 HDR BHD Z AL .102 X 12.48 X 87.41,"127070401 HDR BHD Z AL .102 X 12.48 X 87.41
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***
",80,80,11.69,935.2
28196,EA,LVSLS,177070401 PLT SL BHD HDR,"177070401 PLT SL BHD HDR
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",160,160,1.57,251.2
28197,EA,LVSLS,187050412 GRD LMP SI,"187050412 GRD LMP SI
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",160,160,3.88,620.8
28198,EA,LVSLS,98760307 STFNR LWR .102X7.74X28.18 RH,"98760307 STFNR LWR .102X7.74X28.18 RH
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***",80,80,5.35,428
28199,EA,LVSLS,98760323 PNL DR RH,"98760323 PNL DR RH
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***",80,80,14.39,1151.2
28203,EA,LVSLS,202-3244-01A - 19'' RACK PANEL BLANK  **COFC REQUI,202-3244-01A - 19'' RACK PANEL BLANK  **COFC REQUIRED**,15,15,11.32,169.8
28203,EA,LVSLS,202-3244-02 - 19'' RACK PANEL BLANK,202-3244-02 - 19'' RACK PANEL BLANK,15,15,14.59,218.85
28204,EA,LVSLS,"205-1092-00A - DOOR HINGE, 30'' ARE UNIT","205-1092-00A - DOOR HINGE, 30'' ARE UNIT",50,45,10.29,514.5
28205,EA,LVSLS,102130D COVER FOR CONTROLLER ENCLOSURE,102130D COVER FOR CONTROLLER ENCLOSURE,100,100,3.5,350
28210,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,80,80,207.64,16611.2
28210,EA,LVSLS,3515 DOOR DIVIDER,3515 DOOR DIVIDER,21,21,75,1575
28222,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,15,15,207.64,3114.6
28200,EA,LVSLS,T1309MT12-120 Panel Antenna Standoff Bracket,T1309MT12-120 Panel Antenna Standoff Bracket,9,9,222.36,2001.24
28201,EA,LVSLS,137147424 BAR - WEIGHT,137147424 BAR - WEIGHT,220,220,4.95,1089
28202,EA,LVSLS,208007455 ANG INR STL,208007455 ANG INR STL ,100,100,12.62,1262
28205,EA,LVSLS,102260D MTG PLATE FOR 102200-01 &-02,102260D MTG PLATE FOR 102200-01 &-02,200,200,3.5,700
28205,EA,LVSLS,102250C COVER FOR 102200-01,102250C COVER FOR 102200-01,100,100,5.25,525
28205,EA,LVSLS,102280C COVER FOR 102200-02,102280C COVER FOR 102200-02,100,100,4.75,475
28205,EA,LVSLS,102120D MTG PLATE FOR CONTROLLER ENCLOSURE,102120D MTG PLATE FOR CONTROLLER ENCLOSURE,100,100,6.5,650
28206,EA,LVSLS,626411 MOD; ROD; END; BALL; JOINT; 25-28,626411 MOD; ROD; END; BALL; JOINT; 25-28,50,50,12.61,630.5
28207,EA,LVSLS,624284 BRACKET; MOUNTING; IO LINK,624284 BRACKET; MOUNTING; IO LINK,6,6,17.12,102.72
28213,EA,LVSLS,117142400  S MIR LH,117142400  S MIR LH,120,120,0.95,114
28213,EA,LVSLS,137147410  PNL CLSR LATBHD STL 11GA YL,137147410  PNL CLSR LAT BHD STL 11GA YL,120,120,3.85,462
28214,EA,LVSLS,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,46027706 BRKT FUSE BLK KYLS 90 DEG TYCO #2311181,180,180,2.42,435.6
28215,EA,LVSLS,137147421,137147421 - PLATE - ANCHOR - PULLEY,180,180,4.85,873
28216,EA,LVSLS,N75020-604-00001 SPO DISCHARGE/CONVEYOUR TRACKING,N75020-604-00001 SPO DISCHARGE/CONVEYOUR TRACKING PHOTOEYE BRACKET,50,50,4.78,239
28219,EA,LVSLS,EXTENDED BASE,3005-2122-01S3 EXTENDED BASE,20,20,378.81,7576.2
28220,EA,LVSLS,EXTENDED BASE,3005-2122-01S3 EXTENDED BASE,20,20,378.81,7576.2
28207,EA,LVSLS,620898,620898   PLATE; BATTERY; BOX ; TOP,18,18,29.88,537.84
28053,EA,LVSLS,IF-XX000-124 LIFTING BRKT LH-BT,IF-XX000-124 LIFTING BRKT LH-BT,2,2,61.98,123.96
28222,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,15,15,207.64,3114.6
28223,EA,LVSLS,"HOUSING, BATTERY STACK for 2X",202-9580-0000,3,3,0,0
28224,EA,LVSLS,5011901 BRACKET 2.75 1.25 .250 L,5011901 BRACKET 2.75 1.25 .250 L,90,90,5.32,478.8
28224,EA,LVSLS,5011902 BRACKET 2.75 1.25 .250 L,5011902 BRACKET 2.75 1.25 .250 L,90,90,5.32,478.8
28224,EA,LVSLS,G5011907 - BRACKET ASSEMBLY 4.50 0.250 L,G5011907 - BRACKET ASSEMBLY 4.50 0.250 L,80,80,44.06,3524.8
28224,EA,LVSLS,G5011909 - BRACKET ASSEMBLY 6.94 0.250 L,G5011909 - BRACKET ASSEMBLY 6.94 0.250 L,75,75,44.86,3364.5
28208,EA,LVSLS,4701-000149-003 QUAD LED IP CLOCK TOP PLATE,"4701-000149-003 QUAD LED IP CLOCK TOP PLATE, FLASHERS PAINTED SKY WHITE",1,1,4.81,4.81
28208,EA,LVSLS,4701-000150-002 QUAD LED IP CLOCK BOTTOM PLATE,"4701-000150-002 QUAD LED IP CLOCK BOTTOM PLATE, NO FLASHERS, PAINTED SKY WHITE",1,1,4.78,4.78
28211,EA,LVSLS,"612256 BRACKET, GROUND STUD","612256 BRACKET, GROUND STUD",10,10,7.79,77.9
28212,EA,LVSLS,605206 FC; BRACKET; SKIRT SUPPORT; REAR; W/ HOLES,605206 FC; BRACKET; SKIRT SUPPORT; REAR; W/ HOLES,2,2,63.36,126.72
28213,EA,LVSLS,137147403 SLD STKR SEE DOOR REAR,137147403 SLD STKR SEE DOOR REAR,120,120,3.45,414
28215,EA,LVSLS,137147420 PLT MTG PUL,137147420 PLT MTG PUL,180,180,4.98,896.4
28215,EA,LVSLS,137147424 BAR - WEIGHT,137147424 BAR - WEIGHT,180,180,4.95,891
28217,EA,LVSLS,3009-2600-61S3,3009-2600-61S3,10,10,1231.28,12312.8
28208,EA,LVSLS,4701-000159-002 QUAD LED IP CLOCK BOTTOM PLATE,"4701-000159-002 QUAD LED IP CLOCK BOTTOM PLATE, NO FLASHERS, PAINTED SKY WHITE",1,1,6.58,6.58
28218,EA,LVSLS,3009-2600-61S3,3009-2600-61S3,10,10,1231.28,12312.8
28221,EA,LVSLS,K1672KT-09,"TAPER ADJUSTMENT CHANNEL, ANTENNA MOUNT",50,50,30.87,1543.5
28230,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,5,5,207.64,1038.2
28230,EA,LVSLS,FD4896SG2T,FD4896SG2T,30,30,30.39,911.7
28231,EA,LVSLS,es-p45x13-REV1,105-097 es-p45x13-881,80,80,31.61,2528.8
28231,EA,LVSLS,105-098 SPGP-18X24-881,105-098 SPGP-18X24-881,40,40,26.93,1077.2
28231,EA,LVSLS,"105-110 PANEL, GLAND PLATE D4H-PARALLEL, BOTTOM 21","105-110 PANEL, GLAND PLATE D4H-PARALLEL, BOTTOM 21 HOLES ",100,100,12.67,1267
28209,EA,LVSLS,4701-000149-003 QUAD LED IP CLOCK TOP PLATE,"4701-000149-003 QUAD LED IP CLOCK TOP PLATE, FLASHERS PAINTED SKY WHITE",99,99,4.81,476.19
28209,EA,LVSLS,4701-000150-002 QUAD LED IP CLOCK BOTTOM PLATE,"4701-000150-002 QUAD LED IP CLOCK BOTTOM PLATE, NO FLASHERS, PAINTED SKY WHITE",99,99,4.78,473.22
28209,EA,LVSLS,4701-000159-002 DUAL LED PANEL PLATE W/ FLASHERS ,"4701-000159-002 DUAL LED PANEL PLATE W/ FLASHERS, PAINTED SKY WHITE",99,99,6.58,651.42
27446,EA,LVSLS,PAINT FEE FOR 20Y3044191XC,PAINT FEE FOR 20Y3044191XC,170,170,16.11,2738.7
28210,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,80,80,207.64,16611.2
28239,EA,LVSLS,UAP-XV-MX-004_B,MX PAD RECIRC TANK FRONT PLT,2,2,250,500
28239,EA,LVSLS,UAP-XV-016-B,MX PAD RECIRC TANK HANDLE,4,4,50,200
28239,EA,LVSLS,EXPEDITED FEE,EXPEDITED FEE,1,1,150,150
28224,EA,LVSLS,G5012059 - BRACKET ASSEMBLY 2.00 .250 L,G5012059 - BRACKET ASSEMBLY 2.00 .250 L,175,175,22.02,3853.5
28230,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,5,5,207.64,1038.2
28231,EA,LVSLS,"105-111 PANEL, GLAND PLATE D4H-PARALLEL, BOTTOM, #","105-111 PANEL, GLAND PLATE D4H-PARALLEL, BOTTOM. #9 HOLES
DRAWING: 105-111-408-GP-BOT-KEL-DEF",100,100,9.07,907
28232,EA,LVSLS,"105-127 panel, HMI plate, WW, sp-1813-mst10600h101","105-127 panel, HMI plate, WELLWORKS, sp-1813-mst10600h101",100,100,29.25,2925
28234,EA,LVSLS,604710 FC; PLATE; SIDE,604710 FC; PLATE; SIDE,4,4,290.84,1163.36
28235,EA,LVSLS,"303364 JACK TUBE WMT, INNER","303364 JACK TUBE WMT, INNER",40,40,114.71,4588.4
28236,EA,LVSLS,302863 FAB; PLW400; TUBE_RECT;8.0*4.0*0.5,302863 FAB; PLW400; TUBE_RECT;8.0*4.0*0.5,29,29,115.05,3336.45
28237,EA,LVSLS,604560 FC; BRACKET; SKIRT SUPPORT; REAR,604560 FC; BRACKET; SKIRT SUPPORT; REAR,2,2,63.18,126.36
28224,EA,LVSLS,G5012061,G5012061,90,90,43.18,3886.2
28225,EA,LVSLS,215007505 Z RR C/P STL7GAX5.96X76.3 LH F59 GALV,215007505 Z RR C/P STL7GAX5.96X76.3 LH F59 GALV ,75,75,45.99,3449.25
28226,EA,LVSLS,"DSC/DOM1 RR LIGHT BAR, NO TOP PLATE","DSC/DOM1 RR LIGHT BAR, NO TOP PLATE",4,4,400,1600
28227,EA,LVSLS,208-8500-00A - BRACKET BATTERY RACK  **COFC REQUIR,208-8500-00A - BRACKET BATTERY RACK  **COFC REQUIRED**,50,50,7.73,386.5
28228,EA,LVSLS,CFAB-14181 INVENTORY PART SAME AS N016-0189,"CFAB-14181  INVENTORY PART   SAME AS N016-0189

5052 ALUM .032 X 48 X 96    20 ga ",500,500,0.75,375
28228,EA,LVSLS,CFAB-14179 INVENTORY PART SAME AS N016-0188,CFAB-14179   INVENTORY PART  SAME AS N016-0188 ,500,500,9,4500
28229,EA,LVSLS,"Clover Shim 2.010"" Hole","Clover Shim 2.010"" Hole",500,500,1.8,900
28239,EA,LVSLS,PAINTING FEE,PAINTING FEE,1,1,375,375
28233,EA,LVSLS,301453,"301453   PLATE, BOTTOM, CALIPER MNT",30,30,6.42,192.6
28238,EA,LVSLS,3394 DOOR LEFT,3394 DOOR LEFT,5,5,207.64,1038.2
28238,EA,LVSLS,3394 DOOR RIGHT,3394 DOOR RIGHT,5,5,207.64,1038.2
27465,EA,LVSLS,208101402 S/FRM STL.25X16.58X38.86LH GALV,208101402 S/FRM STL.25X16.58X38.86LH GALV,100,100,80.09,8009
28244,EA,LVSLS,190105412 BRKT SHLF LH,190105412 BRKT SHLF LH,500,500,5.8,2900
28245,EA,LVSLS,190105412 BRKT SHLF LH,190105412 BRKT SHLF LH,500,494,5.8,2900
28248,EA,LVSLS,137147408,137147408 -BRKT BLKH STKR ,150,146,6.93,1039.5
28263,EA,LVSLS,YT448246-AO TANK BOLT BAR 1.00 18.00 .500,YT448246-AO TANK BOLT BAR 1.00 18.00 .500,50,50,12.7,635
28263,EA,LVSLS,YT448270-AO TANK BOLT BAR 1.00 16.00 .500,YT448270-AO TANK BOLT BAR 1.00 16.00 .500,50,50,11.65,582.5
